diagnosis	diagnosis_category	source
Atypical meningioma	Meningiomas	ICD-O-3.2
Atypical teratoid/rhabdoid tumor	Neuroepitheliomatous neoplasms	ICD-O-3.2
B lymphoblastic leukemia/lymphoma with hyperdiploidy	Lymphoid leukemias	ICD-O-3.2
B lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL)	Lymphoid leukemias	ICD-O-3.2
B lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)	Lymphoid leukemias	ICD-O-3.2
B lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)	Lymphoid leukemias	ICD-O-3.2
B lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1	Lymphoid leukemias	ICD-O-3.2
B lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged	Lymphoid leukemias	ICD-O-3.2
B lymphoblastic leukemia/lymphoma, BCR-ABL1-like	Lymphoid leukemias	ICD-O-3.2
B lymphoblastic leukemia/lymphoma, NOS	Lymphoid leukemias	ICD-O-3.2
Basal cell adenocarcinoma	Adenomas and adenocarcinomas	ICD-O-3.2
Basal cell carcinoma, NOS	Basal cell neoplasms	ICD-O-3.2
Benign cystic nephroma	Complex mixed and stromal neoplasms	ICD-O-3.2
Benign fibrous histiocytoma, NOS	Fibromatous neoplasms	ICD-O-3.2
Blue nevus, malignant	Nevi and melanomas	ICD-O-3.2
Burkitt lymphoma, NOS	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Calcifying nested stromal-epithelial tumor	Complex mixed and stromal neoplasms	ICD-O-3.2
Capillary hemangioma	Blood vessel tumors	ICD-O-3.2
Carcinoid tumor of uncertain malignant potential	Adenomas and adenocarcinomas	ICD-O-3.2
Carcinoma, anaplastic, NOS	Epithelial neoplasms, NOS	ICD-O-3.2
Carcinoma ex pleomorphic adenoma	Complex mixed and stromal neoplasms	ICD-O-3.2
Carcinoma in situ, NOS	Epithelial neoplasms, NOS	ICD-O-3.2
Carcinoma, diffuse type	Adenomas and adenocarcinomas	ICD-O-3.2
Carcinoma, metastatic, NOS	Epithelial neoplasms, NOS	ICD-O-3.2
Carcinoma, NOS	Epithelial neoplasms, NOS	ICD-O-3.2
Carcinoma, undifferentiated, NOS	Epithelial neoplasms, NOS	ICD-O-3.2
Carcinomatosis	Epithelial neoplasms, NOS	ICD-O-3.2
Carotid body paraganglioma	Paragangliomas and glomus tumors	ICD-O-3.2
Cavernous hemangioma	Blood vessel tumors	ICD-O-3.2
Central neurocytoma	Glioneuronal and neuronal tumors;Neuroepitheliomatous neoplasms	WHO CNS5;ICD-O-3.2
Central osteosarcoma, NOS	Osseous and chondromatous neoplasms	ICD-O-3.2
Central primitive neuroectodermal tumor	Gliomas	ICD-O-3.2
Cerebellar liponeurocytoma	Glioneuronal and neuronal tumors	WHO CNS5
Cholangiocarcinoma	Adenomas and adenocarcinomas	ICD-O-3.2
Chondroblastic osteosarcoma	Osseous and chondromatous neoplasms	ICD-O-3.2
Chondroblastoma, NOS	Osseous and chondromatous neoplasms	ICD-O-3.2
Chondroid chordoma	Miscellaneous tumors	ICD-O-3.2
Chondromyxoid fibroma	Osseous and chondromatous neoplasms	ICD-O-3.2
Chondrosarcoma	CNS Sarcoma	WHO CNS5
Chondrosarcoma, NOS	Osseous and chondromatous neoplasms	ICD-O-3.2
Chordoid glioma	Low-Grade Glioma	WHO CNS5
Chordoma	Miscellaneous tumors	WHO CNS5
Chordoma, NOS	Miscellaneous tumors	ICD-O-3.2
Choriocarcinoma	Germ cell tumors	WHO CNS5
Choriocarcinoma combined with other germ cell elements	Trophoblastic neoplasms	ICD-O-3.2
Choriocarcinoma, NOS	Trophoblastic neoplasms	ICD-O-3.2
Choroid plexus carcinoma	Choroid Plexus tumors;Gliomas	WHO CNS5;ICD-O-3.2
Choroid plexus papilloma	Choroid Plexus tumors	WHO CNS5
Choroid plexus papilloma, NOS	Gliomas	ICD-O-3.2
Choroid plexus tumor	Choroid Plexus tumors	WHO CNS5
Chronic eosinophilic leukemia	Myeloproliferative neoplasms	ICD-O-3.2
Chronic myelogenous leukemia, BCR/ABL positive	Myeloid leukemias	ICD-O-3.2
Chronic myeloid leukemia, NOS	Myeloid leukemias	ICD-O-3.2
CIC-rearranged sarcoma	CNS Sarcoma	WHO CNS5
Clear cell adenocarcinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Clear cell adenoma	Adenomas and adenocarcinomas	ICD-O-3.2
Clear cell meningioma	Meningiomas	ICD-O-3.2
Clear cell sarcoma of kidney	Complex mixed and stromal neoplasms	ICD-O-3.2
Clear cell sarcoma, NOS	Synovial-like neoplasms	ICD-O-3.2
CNS embryonal tumor with rhabdoid features	Neuroepitheliomatous neoplasms	ICD-O-3.2
CNS embryonal tumor, NOS or NEC	Other CNS Embryonal tumors;Gliomas	WHO CNS5;ICD-O-3.2
CNS germ cell tumor, NOS or NEC	CNS Germ Cell Tumors	WHO CNS5
CNS Germinoma	CNS Germ Cell Tumors	WHO CNS5
CNS mature teratoma	Germ cell tumors	WHO CNS5
CNS neuroblastoma, FOXR2-activated	Other CNS Embryonal tumors	WHO CNS5
CNS Non-Germinomatous Germ Cell Tumor	CNS Germ Cell Tumors	WHO CNS5
CNS Sarcoma, NOS or NEC	CNS Sarcoma	WHO CNS5
CNS tumor with BCOR internal tandem duplication	High-Grade Glioma;Other CNS Embryonal tumors	WHO CNS5
Composite Hodgkin and non-Hodgkin lymphoma	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Congenital melanocytic nevus, NOS	Nevi and melanomas	ICD-O-3.2
Craniopharyngioma, adamantinomatous	Miscellaneous tumors	ICD-O-3.2
Craniopharyngioma, NOS	Miscellaneous tumors	ICD-O-3.2
Craniopharyngioma, NOS or NEC	Craniopharyngioma	WHO CNS5
Cribriform carcinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Cribriform neuroepithelial tumor	Other CNS Embryonal tumors	WHO CNS5
Cutaneous T-cell lymphoma, NOS	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Dedifferentiated liposarcoma	Lipomatous neoplasms	ICD-O-3.2
Dermatofibroma, NOS	Fibromatous neoplasms	ICD-O-3.2
Dermatofibrosarcoma protuberans, fibrosarcomatous	Fibromatous neoplasms	ICD-O-3.2
Dermatofibrosarcoma protuberans, NOS	Fibromatous neoplasms	ICD-O-3.2
Dermatofibrosarcoma, NOS	Fibromatous neoplasms	ICD-O-3.2
Dermoid cyst, NOS	Germ cell neoplasms	ICD-O-3.2
Desmoplastic fibroma	Fibromatous neoplasms	ICD-O-3.2
Desmoplastic infantile astrocytoma	Gliomas	ICD-O-3.2
Desmoplastic infantile ganglioglioma / desmoplastic infantile astrocytoma	Glioneuronal and neuronal tumors	WHO CNS5
Desmoplastic melanoma, malignant	Nevi and melanomas	ICD-O-3.2
Desmoplastic melanoma, NOS	Nevi and melanomas	ICD-O-3.2
Desmoplastic myxoid tumor of the pineal region, SMARCB1-mutant	Other CNS	WHO CNS5
Desmoplastic nodular medulloblastoma	Gliomas	ICD-O-3.2
Desmoplastic small round cell tumor	Soft tissue tumors and sarcomas, NOS	ICD-O-3.2
Diffuse astrocytoma, MYB- or MYBL1-altered	Low-Grade Glioma	WHO CNS5
Diffuse glioneuronal tumor with oligodendroglioma-like features and nuclear clusters	Glioneuronal and neuronal tumors	WHO CNS5
Diffuse hemispheric glioma, H3 G34-mutant	High-Grade Glioma	WHO CNS5
Diffuse large B-cell lymphoma, NOS	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Diffuse leptomeningeal glioneuronal tumor	Glioneuronal and neuronal tumors	WHO CNS5
Diffuse low-grade glioma, MAPK pathway-altered	Low-Grade Glioma	WHO CNS5
Diffuse midline glioma, H3 K27-altered	High-Grade Glioma	WHO CNS5
Diffuse midline glioma, H3 K27M-mutant	Gliomas	ICD-O-3.2
Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	High-Grade Glioma	WHO CNS5
Ductal carcinoma in situ, solid type	Adenomas and adenocarcinomas	ICD-O-3.2
Dysplastic gangliocytoma of cerebellum (Lhermitte-Duclos)	Neuroepitheliomatous neoplasms	ICD-O-3.2
Dysembryoplastic neuroepithelial tumor	Glioneuronal and neuronal tumors;Gliomas, glioneuronal tumors, and neuronal tumors;Gliomas	MCI CNS Diagnosis Category;WHO CNS5;ICD-O-3.2
Dysgerminoma	Germ cell neoplasms	ICD-O-3.2
Dysplastic cerebellar gangliocytoma (Lhermitte-Duclos disease)	Glioneuronal and neuronal tumors	WHO CNS5
Embryonal carcinoma, NOS	Germ cell neoplasms	ICD-O-3.2
Embryonal rhabdomyosarcoma, NOS	Myomatous neoplasms	ICD-O-3.2
Embryonal sarcoma	Complex mixed and stromal neoplasms	ICD-O-3.2
Embryonal tumor with multilayered rosettes with C19MC alteration	Gliomas	ICD-O-3.2
Embryonal tumor with multilayered rosettes, C19MC altered	Other CNS Embryonal tumors	MCI CNS Diagnosis Category
Embryonal tumor with multilayered rosettes, NOS	Other CNS Embryonal tumors	MCI CNS Diagnosis Category
Encapsulated papillary carcinoma	Ductal and lobular neoplasms	ICD-O-3.2
Endometrioid adenoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Endometrioid adenocarcinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Endovascular papillary angioendothelioma	Blood vessel tumors	ICD-O-3.2
Ependymoma, anaplastic	Gliomas	ICD-O-3.2
Ependymoma, NOS	Gliomas	ICD-O-3.2
Epithelial tumor, benign	Epithelial neoplasms, NOS	ICD-O-3.2
Epithelial-myoepithelial carcinoma	Complex epithelial neoplasms	ICD-O-3.2
Epithelioid and spindle cell nevus	Nevi and melanomas	ICD-O-3.2
Epithelioid hemangioendothelioma, NOS	Blood vessel tumors	ICD-O-3.2
Epithelioid mesothelioma, malignant	Mesothelial neoplasms	ICD-O-3.2
Epithelioid sarcoma	Soft tissue tumors and sarcomas, NOS	ICD-O-3.2
Epithelioid sarcoma, NOS	Soft tissue tumors and sarcomas, NOS	ICD-O-3.2
Erdheim-Chester disease	Other CNS	WHO CNS5
Ewing sarcoma	CNS Sarcoma;Miscellaneous tumors	WHO CNS5;ICD-O-3.2
Extraventricular neurocytoma	Glioneuronal and neuronal tumors	WHO CNS5
Fibrillary astrocytoma	Gliomas	ICD-O-3.2
Fibroblastic osteosarcoma	Osseous and chondromatous neoplasms	ICD-O-3.2
Fibroma, NOS	Fibromatous neoplasms	ICD-O-3.2
Fibromyxosarcoma	Fibromatous neoplasms	ICD-O-3.2
Fibrosarcoma, NOS	Fibromatous neoplasms	ICD-O-3.2
Fibrous meningioma	Meningiomas	ICD-O-3.2
Follicular adenocarcinoma, well differentiated	Adenomas and adenocarcinomas	ICD-O-3.2
Follicular adenoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Follicular adenocarcinoma, trabecular	Adenomas and adenocarcinomas	ICD-O-3.2
Follicular carcinoma, minimally invasive	Adenomas and adenocarcinomas	ICD-O-3.2
Follicular carcinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Follicular lymphoma, NOS	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Gangliocytoma	Glioneuronal and neuronal tumors	WHO CNS5
Gangliocytoma, NOS	Neuroepitheliomatous neoplasms	ICD-O-3.2
Ganglioglioma	Glioneuronal and neuronal tumors	WHO CNS5
Ganglioglioma, anaplastic	Neuroepitheliomatous neoplasms	ICD-O-3.2
Ganglioglioma, benign	Neuroepitheliomatous neoplasms	ICD-O-3.2
Ganglioglioma, NOS	Neuroepitheliomatous neoplasms	ICD-O-3.2
Ganglioneuroblastoma	Neuroepitheliomatous neoplasms	ICD-O-3.2
Ganglioneuroma	Neuroepitheliomatous neoplasms	ICD-O-3.2
Gastrinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Gastrointestinal stromal sarcoma	Complex mixed and stromal neoplasms	ICD-O-3.2
Gastrointestinal stromal tumor	Complex mixed and stromal neoplasms	ICD-O-3.2
Gastrointestinal stromal tumor, benign	Complex mixed and stromal neoplasms	ICD-O-3.2
Gastrointestinal stromal tumor, NOS	Complex mixed and stromal neoplasms	ICD-O-3.2
Genital rhabdomyoma	Myomatous neoplasms	ICD-O-3.2
Germ cell tumor, nonseminomatous	Germ cell neoplasms	ICD-O-3.2
Germinoma	Germ cell neoplasms	ICD-O-3.2
Giant cell glioblastoma	Gliomas	ICD-O-3.2
Giant cell tumor of bone, malignant	Giant cell tumors	ICD-O-3.2
Giant cell tumor of bone, NOS	Giant cell tumors	ICD-O-3.2
Giant cell tumor of soft parts, NOS	Giant cell tumors	ICD-O-3.2
Glioblastoma, IDH-wildtype	High-Grade Glioma	WHO CNS5
Glioblastoma, NOS	Gliomas	ICD-O-3.2
Glioma, malignant	Gliomas	ICD-O-3.2
Gliomatosis cerebri	Gliomas	ICD-O-3.2
Glioneuronal and neuronal tumors, NOS or NEC	Glioneuronal and neuronal tumors	WHO CNS5
Gliosarcoma	Gliomas	ICD-O-3.2
Glomangiosarcoma	Paragangliomas and glomus tumors	ICD-O-3.2
Glomus tumor, malignant	Paragangliomas and glomus tumors	ICD-O-3.2
Granular cell tumor, malignant	Granular cell tumors and alveolar soft part sarcomas	ICD-O-3.2
Granular cell tumor, NOS	Granular cell tumors and alveolar soft part sarcomas	ICD-O-3.2
Granulosa cell tumor, adult type	Specialized gonadal neoplasms	ICD-O-3.2
Granulosa cell tumor, juvenile	Specialized gonadal neoplasms	ICD-O-3.2
Granulosa cell tumor, malignant	Specialized gonadal neoplasms	ICD-O-3.2
Gynandroblastoma	Specialized gonadal neoplasms	ICD-O-3.2
Hemangioblastic meningioma	Meningiomas	ICD-O-3.2
Hemangioblastoma	Other CNS;Blood vessel tumors	WHO CNS5;ICD-O-3.2
Hemangioendothelioma, malignant	Blood vessel tumors	ICD-O-3.2
Hemangioendothelioma, NOS	Blood vessel tumors	ICD-O-3.2
Hemangioma, NOS	Blood vessel tumors	ICD-O-3.2
Hemangiomas and vascular malformations	Other CNS	WHO CNS5
Hemangiosarcoma	Blood vessel tumors	ICD-O-3.2
Hepatoblastoma, NOS	Complex mixed and stromal neoplasms	ICD-O-3.2
Hepatocellular carcinoma, fibrolamellar	Adenomas and adenocarcinomas	ICD-O-3.2
Hepatocellular carcinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Hepatosplenic T-cell lymphoma	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
HHV8 positive diffuse large B-cell lymphoma	Plasma cell neoplasms	ICD-O-3.2
High grade surface osteosarcoma	Osseous and chondromatous neoplasms	ICD-O-3.2
High-grade astrocytoma with piloid features	High-Grade Glioma	WHO CNS5
High-grade glioma, NOS or NEC	High-Grade Glioma	WHO CNS5
Histiocytic sarcoma	CNS Sarcoma	WHO CNS5
Histiocytoma, NOS	Fibromatous neoplasms	ICD-O-3.2
Hodgkin lymphoma, nodular sclerosis, NOS	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Hodgkin lymphoma, NOS	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Hybrid nerve sheath tumor	Other CNS	WHO CNS5
Hypernephroid tumor	Adenomas and adenocarcinomas	ICD-O-3.2
Immunodeficiency-associated CNS lymphoma	Other CNS	WHO CNS5
Infant-type hemispheric glioma	High-Grade Glioma	WHO CNS5
Infantile fibrosarcoma	Fibromatous neoplasms	ICD-O-3.2
Infiltrating duct and lobular carcinoma	Adenomas and adenocarcinomas	ICD-O-3.2
Infiltrating duct carcinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Infiltrating duct mixed with other types of carcinoma	Adenomas and adenocarcinomas	ICD-O-3.2
Infiltrating ductular carcinoma	Adenomas and adenocarcinomas	ICD-O-3.2
Intracranial mesenchymal tumor, FET-CREB fusion-positive	CNS Sarcoma	WHO CNS5
Intraductal carcinoma and lobular carcinoma in situ	Adenomas and adenocarcinomas	ICD-O-3.2
Intraductal carcinoma, noninfiltrating, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Intraductal papillary mucinous neoplasm with an associated invasive carcinoma	Cystic, mucinous and serous neoplasms	ICD-O-3.2
Intravascular large B-cell lymphoma	Other CNS	WHO CNS5
Juvenile myelomonocytic leukemia, NOS	Other leukemias	ICD-O-3.2
Juvenile xanthogranuloma	Other CNS	WHO CNS5
Lactotroph adenoma	Adenomas and adenocarcinomas	ICD-O-3.2
Langerhans cell histiocytosis	Other CNS	WHO CNS5
Langerhans cell histiocytosis, disseminated	Neoplasms of histiocytes and accessory lymphoid cells	ICD-O-3.2
Langerhans cell histiocytosis, NOS	Neoplasms of histiocytes and accessory lymphoid cells	ICD-O-3.2
Large cell medulloblastoma	Gliomas	ICD-O-3.2
Leiomyoma, NOS	Myomatous neoplasms	ICD-O-3.2
Leiomyosarcoma, NOS	Myomatous neoplasms	ICD-O-3.2
Lentiginous melanocytic nevus	Nevi and melanomas	ICD-O-3.2
Leukemia, NOS	Leukemias, NOS	ICD-O-3.2
Leydig cell tumor, benign	Specialized gonadal neoplasms	ICD-O-3.2
Leydig cell tumor, malignant	Specialized gonadal neoplasms	ICD-O-3.2
Leydig cell tumor, NOS	Specialized gonadal neoplasms	ICD-O-3.2
Lipoblastomatosis	Lipomatous neoplasms	ICD-O-3.2
Lipofibromatosis	Lipomatous neoplasms	ICD-O-3.2
Liposarcoma, NOS	Lipomatous neoplasms	ICD-O-3.2
Lobular carcinoma in situ, NOS	Ductal and lobular neoplasms	ICD-O-3.2
Lobular carcinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Low cumulative sun damage melanoma	Nevi and melanomas	ICD-O-3.2
Low-grade glioma, NOS or NEC	Low-Grade Glioma	WHO CNS5
Lymphangioma, NOS	Lymphatic vessel tumors	ICD-O-3.2
Lymphoepithelial carcinoma	Squamous cell neoplasms	ICD-O-3.2
Lymphoid leukemia, NOS	Lymphoid leukemias	ICD-O-3.2
Lymphomatoid granulomatosis	Other CNS	WHO CNS5
Lymphoproliferative disorder, NOS	Other hematological neoplasms	ICD-O-3.2
Malignant eccrine spiradenoma	Adnexal and skin appendage neoplasms	ICD-O-3.2
Malignant histiocytosis	Neoplasms of histiocytes and accessory lymphoid cells	ICD-O-3.2
Malignant lymphoma, non-Hodgkin, NOS	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Malignant lymphoma, NOS	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Malignant melanoma arising in giant congenital nevus	Nevi and melanomas	ICD-O-3.2
Malignant melanoma in giant pigmented nevus	Nevi and melanomas	ICD-O-3.2
Malignant melanoma, NOS	Nevi and melanomas	ICD-O-3.2
Malignant melanotic nerve sheath tumor	Other CNS	WHO CNS5
Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation	Nerve sheath tumors	ICD-O-3.2
Malignant peripheral nerve sheath tumor, NOS	Nerve sheath tumors	ICD-O-3.2
Malignant rhabdoid tumor	Complex mixed and stromal neoplasms	ICD-O-3.2
Malignant tumor, clear cell type	Neoplasms, NOS	ICD-O-3.2
Malignant tumor, small cell type	Neoplasms, NOS	ICD-O-3.2
Malignant tumor, spindle cell type	Neoplasms, NOS	ICD-O-3.2
MALT lymphoma of the dura	Other CNS	WHO CNS5
Marginal zone B-cell lymphoma, NOS	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Mast cell leukemia	Mast cell neoplasms	ICD-O-3.2
Mature T- and NK-cell lymphomas	Mature T- and NK-cell lymphomas	ICD-O-3.2
Mature T-cell lymphoma, NOS	Mature T- and NK-cell lymphomas	ICD-O-3.2
Mediastinal large B-cell lymphoma	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Medullary carcinoma, NOS	Ductal and lobular neoplasms	ICD-O-3.2
Medullary thyroid carcinoma	Adenomas and adenocarcinomas	ICD-O-3.2
Medulloblastoma, Group 3	Medulloblastoma	WHO CNS5
Medulloblastoma, Group 4	Medulloblastoma	WHO CNS5
Medulloblastoma, non-WNT/non-SHH	Medulloblastoma;Gliomas	WHO CNS5;ICD-O-3.2
Medulloblastoma, NOS or NEC	Medulloblastoma;Gliomas	WHO CNS5;ICD-O-3.2
Medulloblastoma, SHH-activated and TP53-mutant	Medulloblastoma;Gliomas	WHO CNS5;ICD-O-3.2
Medulloblastoma, SHH-activated and TP53-wildtype	Medulloblastoma	WHO CNS5
Medulloblastoma, WNT-activated	Medulloblastoma	WHO CNS5
Medulloblastoma, WNT-activated, NOS	Gliomas	ICD-O-3.2
Medulloepithelioma, NOS	Neuroepitheliomatous neoplasms	ICD-O-3.2
Melanoma in situ	Nevi and melanomas	ICD-O-3.2
Melanotic neuroectodermal tumor	Miscellaneous tumors	ICD-O-3.2
Melanotic schwannoma	Nerve sheath tumors	ICD-O-3.2
Meningeal melanocytic neoplasms (includes melanoma)	Other	WHO CNS5
Meningeal melanocytoma	Nevi and melanomas	ICD-O-3.2
Meningeal melanomatosis	Nevi and melanomas	ICD-O-3.2
Meningioma	Other CNS	WHO CNS5
Meningioma, malignant	Meningiomas	ICD-O-3.2
Meningioma, NOS	Meningiomas	ICD-O-3.2
Meningiomatosis, NOS	Meningiomas	ICD-O-3.2
Meningothelial meningioma	Meningiomas	ICD-O-3.2
Merkel cell carcinoma	Adenomas and adenocarcinomas	ICD-O-3.2
Mesenchymal chondrosarcoma	CNS Sarcoma;Mesenchymal, non-meningothelial tumors;Chondro-osseous tumors;Osseous and chondromatous neoplasms	MCI CNS Diagnosis Category;WHO CNS5;ICD-O-3.2
Mesenchymoma, malignant	Complex mixed and stromal neoplasms	ICD-O-3.2
Mesenchymoma, NOS	Complex mixed and stromal neoplasms	ICD-O-3.2
Mesoblastic nephroma	Complex mixed and stromal neoplasms	ICD-O-3.2
Mesothelioma, biphasic, malignant	Mesothelial neoplasms	ICD-O-3.2
Metastatic signet ring cell carcinoma	Cystic, mucinous and serous neoplasms	ICD-O-3.2
Mixed germ cell tumor	Germ cell neoplasms	ICD-O-3.2
Mixed glioma	Gliomas	ICD-O-3.2
Mixed phenotype acute leukemia with t(v;11q23); MLL rearranged	Leukemias, NOS	ICD-O-3.2
Mixed phenotype acute leukemia, B/myeloid, NOS	Leukemias, NOS	ICD-O-3.2
Mixed phenotype acute leukemia, T/myeloid, NOS	Leukemias, NOS	ICD-O-3.2
Mixed type rhabdomyosarcoma	Myomatous neoplasms	ICD-O-3.2
Mucinous adenocarcinoma	Cystic, mucinous and serous neoplasms	ICD-O-3.2
Mucinous adenoma	Cystic, mucinous and serous neoplasms	ICD-O-3.2
Mucinous cystadenocarcinoma, NOS	Cystic, mucinous and serous neoplasms	ICD-O-3.2
Mucinous cystic tumor of borderline malignancy	Cystic, mucinous and serous neoplasms	ICD-O-3.2
Mucoepidermoid carcinoma	Mucoepidermoid neoplasms	ICD-O-3.2
Multinodular and vacuolating neuronal tumor	Glioneuronal and neuronal tumors	WHO CNS5
Mycosis fungoides	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
